Beer Name,Brewery,Style,Alcohol By Volume (ABV),Ratings (Total),Ratings (Averag)
On The Wings Of Armageddon,DC Brau Brewing Co.,American Imperial IPA,9.2,2082,4.34
Solar Abyss,DC Brau Brewing Co.,American Imperial IPA,10,191,4.33
Yonder Cities,DC Brau Brewing Co.,Belgian IPA,6.5,85,4.24
Oskar Blues,DC Brau Brewing Co.,American IPA,7,102,4.14
Kick.Kick.Snare,Right Proper Brewing Company - Shaw Brewpub,Berliner Weisse,3.1,41,4.19
Desolation,3 Stars Brewing Co.,American Imperial IPA,9.6,64,4.12
"Diamonds, Fur Coat, Champagne",Right Proper Brewing Company - Shaw Brewpub,Berliner Weisse,3.6,58,4.11
Lost Weekend,Bluejacket / Arsenal Restaurant,American IPA,7.9,115,4.04
Space Reaper,DC Brau Brewing Co.,American Imperial IPA,9.2,95,4.05
The Jam,Bluejacket / Arsenal Restaurant,Berliner Weisse,3.7,36,4.11
